47,2000,100,100,,,10.73,30.43,0,5.57,15.472222,4.4286536e+07,2.99,52600,7.0956745,3.7468626,30743.547,137
47,2001,100,100,,,11.12,31.87,0,5.85,15.509013,44250.59,3.06,54250,7.4025154,0.823153,30751.654,137
47,2002,100,100,,,11.86,32.49,0,6.79,17.286152,4.4017224e+07,3.01,53840,8.586957,0.46634558,33228.695,137
82,2020,100,100,,,,18.51,0,13.46,42.10197,3.5630064e+07,,,20.549843,5.8669753,85267.766,73
47,2003,100,100,,,12.72,38.09,0,8.07,17.48267,47297.21,3.17,59230,9.462801,0.39005855,40458.777,137
47,2004,100,100,,,14.44,30.9,0,9.52,23.5527,44621.56,2.99,53730,11.729121,2.6682193,46511.598,137
47,2005,100,100,,,16.12,26.43,0,9.8,27.049406,41866.43,2.83,50200,12.488843,2.3366413,48799.824,137
47,2020,100,100,,,,5.28,0,23.45,81622,2.9380422e+07,,,37.272453,-2.062125,61063.316,137
62,2015,87.37686,85.6,170.87,13090000,81.95,1.12,0,0.93,45.365856,1.0108493e+07,7.22,6120,,3.8788993,7384.7007,9
62,2016,88.20383,86.2,165.79,40720000,80.77,1.28,0,0.96,42.857143,9.740699e+06,7.11,6420,,2.091442,6984.42,9
62,2017,86.27,86.8,161.22,120000,90.1,1.25,0,0.94,42.922375,10052.3955,6.75,5330,,0.47264203,7230.435,9
62,2018,89.881516,87.4,157.08,20000,90.13,1.26,0,0.91,41.935482,8.795324e+06,6.64,5120,,0.83791655,7959.0073,9
62,2019,90.726295,87.8,153.22,,89.88,1.25,0,1.01,44.690266,7427.6616,5.99,5250,,3.9208088,7766.9966,9
62,2020,91.57156,88.1,149.56,,,1.19,0,1.01,45.90909,8.367068e+06,,,,-1.8377609,6881.7153,9
64,2000,99.81181,48.1,587.03,,47.25,1.47,0,5.8,79.779915,9.423704e+06,5.99,4770,,1.8383411,749.9085,57
64,2001,99.80533,49.1,595.94,18260000,53.15,1.31,0,5.49,80.73529,8.959572e+06,5.12,3520,,4.8054533,801.9904,57
64,2002,99.9,49.6,601.31,,56.76,0.46,0,6.7,93.575424,1.0776443e+07,4.8,2960,,5.473837,853.5165,57
64,2003,100,51.1,604.1,1860000,55.33,0.6,0,6.46,91.50142,9.694849e+06,4.6,3160,,11.058723,1010.008,57
64,2004,99.93,52.7,605.98,3440000,54.53,0.82,0,5.99,87.958885,1.0085432e+07,4.47,3370,,5.7944965,1305.0475,57
64,2005,97.93505,54.2,608.23,9570000,41.48,0.97,0,6.17,86.414566,1.1553322e+07,4.17,4240,,9.589574,1642.761,57
64,2006,100,56.35,616.92,2580000,37.22,1.85,0,5.26,73.98031,1.0517187e+07,4.06,4700,,9.41977,1996.0571,57
64,2007,100,58.3,648.93,,36.22,1.42,0,6.75,82.61934,13246.12,3.98,5630,,12.578954,2635.354,57
64,2008,100,60.8,654.96,,36.3,1.21,0,7.09,85.421684,13342.63,3.49,4840,,2.4185717,3324.7358,57
64,2009,100,63,659.83,1020000,36.72,1.08,0,7.34,87.17339,1.3652776e+07,3.74,5620,,-3.6505136,2822.6675,57
81,2020,100,99,61.9,,,86.45,0,5.3,5.776567,1.2996267e+07,,,1.646885,-15.673093,4145.863,93
83,2000,100,100,,,5.96,40.07,0,0.03,0.07481297,3.7170772e+07,3.86,57000,0.040315732,8.892275,21061.482,400
83,2001,100,100,,,6.3,41.3,0,0.02,0.04840271,3.6424156e+07,4.05,57950,0.025859207,0.10226649,20316.248,400
83,2002,100,100,,,6.5,42.74,0,0.03,0.07014262,3.6462848e+07,3.98,61080,0.040297464,-0.1958703,18439.646,400
83,2003,100,100,,,6.52,44.18,0,0.04,0.090456806,36880.75,4.13,62930,0.052213624,1.1493555,18991.379,400
83,2004,100,100,,,6.73,44.41,0,0.04,0.08998875,36929.9,3.86,63160,0.046136867,4.915016,19910.611,400
83,2005,100,100,,,7.03,45.65,0,0.04,0.08754651,3.6458636e+07,3.57,61010,0.04562039,4.1588116,20585.139,400
83,2006,100,100,,,6.86,47.5,0,0.02,0.04208754,3.6028928e+07,3.72,64330,0.029145408,5.7768183,21853.14,400
83,2007,100,100,,,6.72,50.53,0,0.03,0.05933544,3.6725432e+07,3.61,66600,0.026579969,6.101866,24952.547,400
83,2008,100,100,,,8.9,53.34,0,0.04,0.07493443,3.7139568e+07,3.85,66710,0.035232626,3.4588578,29650.77,400
83,2009,100,100,,,8.46,54.67,0,0.07,0.12787724,3.5460904e+07,3.59,65730,0.114865705,1.1429747,27780.463,400
83,2010,100,100,,,8.55,58.41,0,0.14,0.23911187,36229.89,3.66,70520,0.18728304,5.684707,30780.023,400
83,2011,100,100,,,9.08,59.34,0,0.26,0.43624163,36258.53,3.49,69820,0.31869283,5.54259,3.3775512e+07,400
83,2012,100,100,,,2.88,62.57,0,0.44,0.69830185,3.7267684e+07,3.46,76060,0.48113036,2.8229961,32667.607,400
83,2013,100,100,,,3.27,60.76,0,0.58,0.94554937,3.4654492e+07,3.03,67000,0.5884291,4.777202,36499.457,400
83,2014,100,100,,,3.7,59.9,0,0.96,1.5773907,3.3226094e+07,2.82,64720,1.0096922,4.124747,37847.65,400
83,2015,100,100,,,3.74,62.99,0,1.25,1.9458282,34426.47,2.9,66140,1.2998136,2.2796795,35808.438,400
83,2016,100,100,,,3.98,65.34,0,1.69,2.521259,3.4475208e+07,2.81,64980.004,1.7576799,4.462754,37330.26,400
83,2017,100,100,,,3.86,65.81,0,1.79,2.647929,34537.31,2.67,65610,1.7236598,4.377044,40774.13,400
83,2018,100,100,,,3.75,67.02,0,1.85,2.6862204,3.4493292e+07,2.65,61080,1.8638786,3.9834247,42063.453,400
83,2020,100,100,,,,67.75,0,3.86,5.3903084,3.2593808e+07,,,4.053859,-2.1534286,44168.945,400
200,2020,100,,697.36,,,2.73,0,0.42,13.333333,74262.35,,,,,,16
154,2020,100,79.8,,,,27.02,0,10.21,27.42412,2.6211984e+07,,,,-0.9445965,7720.5107,100
1,2000,1.613591,6.2,9.22,20000,44.99,0.16,0,0.31,65.95744,302.59482,1.64,760,,,,60
1,2001,4.074574,7.2,8.86,130000,45.6,0.09,0,0.5,84.745766,236.89185,1.74,730,,,,60
1,2002,9.409158,8.2,8.47,3950000,37.83,0.13,0,0.56,81.159424,210.86215,1.4,1030,,,179.42657,60
1,2003,14.738506,9.5,8.09,25970000,36.66,0.31,0,0.63,67.02128,229.96822,1.4,1220,,8.832278,190.6838,60
1,2004,20.064968,10.9,7.75,,44.24,0.33,0,0.56,62.92135,204.23125,1.2,1030,,1.4141179,211.38208,60
1,2005,25.390894,12.2,7.51,9830000,33.88,0.34,0,0.59,63.440857,252.06912,1.41,1550,,11.229714,242.03131,60
1,2006,30.71869,13.85,7.4,10620000,31.89,0.2,0,0.64,76.190475,304.4209,1.5,1760,,5.3574033,263.7336,60
1,2007,36.05101,15.3,7.25,15750000,28.78,0.2,0,0.75,78.94737,354.2799,1.53,1770,,13.82632,359.69315,60
1,2008,42.4,16.7,7.49,16170000,21.17,0.19,0,0.54,73.9726,607.8335,1.94,3560,,3.9249837,364.66354,60
1,2009,46.74005,18.4,7.5,9960000,16.53,0.16,0,0.78,82.97872,975.04816,2.25,4880,,21.390528,437.26874,60
1,2010,42.7,20,8.27,36500000,15.15,0.19,0,0.75,79.78723,1.182892e+06,2.46,7110,,14.362441,543.3065,60
1,2011,43.22202,21.8,8.13,28690000,12.61,0.18,0,0.6,76.92309,1436.1143,3.23,8930,,0.4263548,591.19,60
1,2012,69.1,23,9.29,62630000,15.36,0.14,0,0.74,84.09091,1324.1211,2.61,8080,,12.752287,638.8458,60
1,2013,68.29065,24.8,9.1,268460000,16.86,0.22,0,0.89,80.180176,1060.7926,2.46,5990,,5.6007447,624.3154,60
