226,77.7,923768,215,120369,7.2,127
214,21.8,120538,1469000,28284,40.7,128
83,,25713,,,,129
15,2.7,323802,23,41023,33.2,130
16,4.6,310,47,63457,0,131
287,47.8,796095,936,201,1.9,132
39,10.9,459,,224,87.6,133
847,,,,,,134
58,30.4,75,26,10715,61.9,135
20,2.6,463,4,7536,74.1,136
18,55.1,406752,27,7407,37.7,137
26,18.5,1285216,158,57414,57.7,138
368,41.7,300,153,122287,27.8,139
124,46.9,312685,191,299037,30.9,140
111,39.5,92212,52,48742,34.6,141
248,5.8,11586,22,103259,0,142
84,58.8,238391,126,69259,30.1,143
9,13.3,17098240,1454000,1732027,49.8,144
525,73.4,26338,35,1115,19.7,145
205,23.1,261,,238,42.3,146
301,17.4,616,,414,33.2,147
284,25.6,389,,220,69.2,148
70,12.4,2831,,246,60.4,149
566,16.7,61,,,0,150
228,50.7,964,1,121,55.8,151
16,80.8,2149690,252,563449,0.5,152
87,46.1,196722,19,10902,42.8,153
100,39.3,77474,32,45221,31.1,154
214,3.4,455,0,605,88.4,155
111,54.7,72,9,1093,43.1,156
8358,0.9,716,81,37535,23.1,157
114,39.2,49035,16,32424,40.4,158
103,30.7,20273,7,12633,62,159
25,3.9,28896,,169,77.9,160
25,70.3,637657,20,645,10,161
49,79.8,1219090,80,476644,7.6,162
527,17.4,100,634,620302,63.4,163
18,,644329,185,1727,,164
94,52.6,505,196,244002,36.9,165
341,43.7,66,317,23362,32.9,166
25,28.7,1861484,124,20,8.1,167
4,0.6,164,2,1738,98.3,168
25,7.4,450295,30,43252,68.9,169
219,38.4,41277,21,34477,31.8,170
95,75.8,185,239,29,2.7,171
68,34.1,144,17,5,3,172
67,44.8,947,28,11973,51.6,173
137,43.3,513,455,283763,32.2,174
89,25.6,14874,2,495,45.4,175
152,70.2,56785,10,3,3.1,176
147,45.8,747,,128,12.5,177
273,10.5,5128,4,43868,46,178
76,64.8,164,48,29937,6.8,179
110,49.8,783562,512,372725,15.4,180
13,72,488,42,71,8.8,181
393,60,26,,11,33.3,182
229,71.9,241038,46,6,9.7,183
75,71.7,604,297,202,16.7,184
118,5.5,84,63,206324,4.6,185
281,71.7,244,148,379025,13.1,186
36,44.4,9833517,1359000,5006302,33.9,187
20,82.6,176215,22,6766,10.7,188
79,62.9,447,68,91811,7.5,189
25,15.3,12189,,147,36.1,190
32,24.5,912,343,164175,52.7,191
314,39.3,331,522,192668,48.1,192
56,44.6,527968,40,10609,1,193
25,32.1,752618,16,5141,65.2,194
38,41.9,390757,51,10983,35.5,195
