45,10.7,1.69,2.7,79,3,4.12,10669709,7887156
46,41.18,5.92,68.2,60.4,473,0.07,86790567,39095679
47,10.6,1.73,3.6,81,4,4.01,5818553,5119978
48,21.47,2.73,49.8,66.6,248,0.22,97356,758549
49,12,1.9,32.9,76.6,,1.08,71808,5083
50,19.51,2.35,24.1,73.9,95,1.56,10738958,8787475
51,19.72,2.43,12.2,76.8,59,2.04,17373662,11116711
52,26.38,3.33,18.1,71.8,37,0.45,100388073,42895824
53,18.25,2.04,11.8,73.1,46,1.57,6453553,4694702
54,33.24,4.51,62.6,58.4,301,0.4,1355986,984812
55,30.3,4.06,31.3,65.9,480,0.06,6333135,1149670
56,10.9,1.59,2.1,78.2,9,4.48,1331824,916024
57,,,,,,,1093238,
58,32.34,4.25,39.1,66.2,401,0.08,112078730,23788710
59,21.28,2.77,21.6,67.3,34,0.84,889953,505048
60,8.6,1.41,1.4,81.7,3,3.81,5520314,4716888
61,11.3,1.88,3.4,82.5,8,3.27,67059887,54123364
62,31.61,3.97,32.7,66.2,252,0.68,2172579,1949694
63,38.54,5.22,39,61.7,597,0.1,2347706,1453958
64,13.47,2.06,8.7,73.6,25,7.12,3720382,2196476
65,9.5,1.56,3.1,80.9,7,4.25,83132799,64324835
66,29.41,3.87,34.9,63.8,308,0.14,30792608,17249054
67,8.1,1.35,3.6,81.3,3,5.48,10716322,8507474
68,16.47,2.06,13.7,72.4,25,1.41,112003,40765
69,24.56,2.87,22.1,74.1,95,0.35,16604026,8540945
70,36.36,4.7,64.9,61.2,576,0.08,12771246,4661505
71,35.13,4.48,54,58,667,0.13,1920922,840922
72,19.97,2.46,25.1,69.8,169,0.8,782766,208912
73,24.35,2.94,49.5,63.7,480,0.23,11263077,6328948
74,,,,,,,836,
75,21.6,2.46,15.1,75.1,65,0.31,9746117,5626433
76,9.6,1.54,3.6,75.8,12,3.41,9769949,6999582
77,12,1.71,1.5,82.7,4,4.08,361313,33911
78,17.86,2.22,29.9,69.4,145,0.86,1366417754,471031528
79,18.07,2.31,21.1,71.5,177,0.43,270203917,151509724
80,18.78,2.14,12.4,76.5,16,1.58,82913906,62509623
81,29.08,3.67,22.5,70.5,79,0.71,39309783,27783368
82,12.5,1.75,3.1,82.3,5,3.31,5007069,3133123
83,20.8,3.09,3,82.8,3,4.62,9053300,8374393
84,7.3,1.29,2.6,82.9,2,3.98,60297396,42651966
85,16.1,1.98,12.4,74.4,80,1.31,2948279,1650594
86,7.4,1.42,1.8,84.2,5,2.41,126226568,115782416
87,21.98,2.76,13.9,74.4,46,2.32,10101694,9213048
88,21.77,2.84,8.8,73.2,10,3.25,18513930,10652915
89,28.75,3.49,30.6,66.3,342,0.16,52573973,14461523
90,27.89,3.57,41.2,68.1,92,0.2,117606,64489
91,13.94,2.08,6.7,75.4,12,2.58,4207083,4207083
92,27.1,3.3,16.9,71.4,60,1.88,6456900,2362644
93,23.55,2.67,37.6,67.6,185,0.37,7169455,2555552
94,10,1.6,3.3,74.7,19,3.19,1912789,1304943
95,17.55,2.09,6.4,78.9,29,2.1,6855713,6084994
96,26.81,3.14,65.7,53.7,544,0.07,2125268,607508
97,33.04,4.32,53.5,63.7,661,0.04,4937374,2548426
98,18.83,2.24,10.2,72.7,72,2.09,6777452,5448597
99,9.9,1.44,,83,,,38019,5464
100,10,1.63,3.3,75.7,8,6.35,2786844,1891013
101,10.3,1.37,1.9,82.1,5,3.01,645397,565488
102,32.66,4.08,38.2,66.7,335,0.18,26969307,10210849
103,34.12,4.21,35.3,63.8,349,0.04,18628747,3199301
104,16.75,2,6.7,76,29,1.51,32447385,24475766
105,14.2,1.87,7.4,78.6,53,4.56,530953,213645
106,41.54,5.88,62,58.9,562,0.13,19658031,8479688
107,9.2,1.23,6.1,82.3,6,2.86,502653,475902
108,29.03,4.05,27.4,65.2,,0.42,58791,45514
109,33.69,4.56,51.5,64.7,766,0.19,4525696,2466821
110,10.2,1.41,13.6,74.4,61,2.53,1265711,51598
111,17.6,2.13,11,75,33,2.38,126014024,102626859
112,22.82,3.05,25.6,67.8,88,0.18,113815,25963
113,10.1,1.26,13.6,71.8,19,3.21,2657637,1135502
114,5.9,,2.6,,,6.56,38964,38964
115,24.13,2.9,14,69.7,45,2.86,3225167,2210626
116,11.73,1.75,2.3,76.8,6,2.76,622137,417765
117,18.94,2.42,19.2,76.5,70,0.73,36910560,22975026
118,37.52,4.85,54,60.2,289,0.08,30366036,11092106
119,17.55,2.15,36.8,66.9,250,0.68,54045420,16674093
120,28.64,3.4,29,63.4,195,0.42,2494530,1273258
121,,,,,,,10084,
122,19.89,1.92,26.7,70.5,186,0.75,28608710,5765513
123,9.7,1.59,3.3,81.8,5,3.61,17332850,15924729
124,11.98,1.71,4.7,81.9,9,3.59,4841000,4258860
125,20.64,2.4,15.7,74.3,98,0.98,6545502,3846137
126,46.08,6.91,48,62,509,0.04,23310715,3850231
127,37.91,5.39,75.7,54.3,917,0.38,200963599,102806948
128,13.89,1.9,13.7,72.1,89,3.67,25666161,15947412
129,,,,,,,1836713,
130,10.4,1.56,2.1,82.8,2,2.92,5347896,4418218
131,19.19,2.89,9.8,77.6,19,2,5266535,4250777
132,28.25,3.51,57.2,67.1,140,0.98,216565318,79927762
133,14,2.21,16.6,69.1,,1.18,18233,14491
134,,,,,,,,
135,18.98,2.46,13.1,78.3,52,1.57,4246439,2890084
136,27.07,3.56,38,64.3,145,0.07,8776109,1162834
137,20.57,2.43,17.2,74.1,129,1.35,7044636,4359150
138,17.95,2.25,11.1,76.5,88,1.27,32510453,25390339
139,20.55,2.58,22.5,71.1,121,0.6,108116615,50975903
140,10.2,1.46,3.8,77.6,2,2.38,37970874,22796574
141,8.5,1.38,3.1,81.3,8,5.12,10269417,6753579
142,9.54,1.87,5.8,80.1,9,2.49,2832067,2809071
143,9.6,1.71,6.1,75.4,19,2.98,19356544,10468793
144,11.5,1.57,6.1,72.7,17,4.01,144373535,107683889
145,31.7,4.04,27,68.7,248,0.13,12626950,2186104
146,12.6,2.11,9.8,71.3,,2.52,52823,16269
147,12,1.44,14.9,76.1,117,0.64,18279,3428
148,14.24,1.89,14.8,72.4,68,0.66,100455,58185
149,24.38,3.88,13.6,73.2,43,0.34,202506,35588
150,6.8,1.26,1.7,85.4,,6.11,3386,32969
151,31.54,4.32,24.4,70.2,130,0.05,215056,158277
152,17.8,2.32,6,75,17,2.61,34268528,28807838
153,34.52,4.63,31.8,67.7,315,0.07,16296364,7765706
154,9.2,1.49,4.8,75.5,12,3.11,6944975,3907243
155,17.1,2.41,12.4,72.8,53,0.95,97625,55762
156,33.41,4.26,78.5,54.3,1120,0.03,7813215,3319366
157,8.8,1.14,2.3,83.1,8,2.29,5703569,5703569
158,10.6,1.52,4.6,77.2,5,3.42,5454073,2930419
159,9.4,1.6,1.7,81,7,3.09,2087946,1144654
160,32.44,4.4,17.1,72.8,104,0.19,669823,162164
161,41.75,6.07,76.6,57.1,829,0.02,15442905,7034861
162,20.51,2.41,28.5,63.9,119,0.91,58558270,39149717
163,6.4,0.98,2.7,82.6,11,2.36,51709098,42106719
164,35.01,4.7,63.7,57.6,1150,,11062113,2201250
165,7.9,1.26,2.5,83.3,4,3.87,47076781,37927409
166,15.83,2.2,6.4,76.8,36,1,21803000,4052088
167,32.18,4.41,42.1,65.1,295,0.26,42813238,14957233
168,18.54,2.42,16.9,71.6,120,1.21,581372,384258
169,11.4,1.76,2.2,82.5,4,3.98,10285453,9021165
170,10,1.52,3.7,83.6,5,4.3,8574832,6332428
171,23.69,2.81,14,71.8,31,1.22,17070135,9358019
172,30.76,3.59,30.4,70.9,17,1.7,9321018,2545477
173,36.7,4.89,37.6,65,524,0.01,58005463,20011885
174,10.34,1.53,7.8,76.9,37,0.81,69625582,35294600
175,29.42,4.02,39.3,69.3,142,0.72,3500000,400182
176,33.11,4.32,47.4,60.8,396,0.08,8082366,3414638
177,24.3,3.56,13.4,70.8,52,0.52,100209,24145
178,12.94,1.73,16.4,73.4,67,4.17,1394973,741944
179,17.56,2.2,14.6,76.5,43,1.3,11694719,8099061
180,16.03,2.07,9.1,77.4,17,1.85,83429615,63097818
181,23.83,2.79,39.3,68.1,7,2.22,5942089,3092738
182,,,20.6,,,0.92,11646,7362
183,38.14,4.96,33.8,63,375,0.17,44269594,10784516
184,8.7,1.3,7.5,71.6,19,2.99,44385155,30835699
185,10.33,1.41,6.5,77.8,3,2.53,9770529,8479744
186,11,1.68,3.6,81.3,7,2.81,66834405,55908316
187,11.6,1.73,5.6,78.5,19,2.61,328239523,270663028
188,13.86,1.97,6.4,77.8,17,5.05,3461734,3303394
189,23.3,2.42,19.1,71.6,29,2.37,33580650,16935729
190,29.6,3.78,22.3,70.3,72,0.17,299882,76152
191,17.88,2.27,21.4,72.1,125,1.92,28515829,25162368
192,16.75,2.05,16.5,75.3,43,0.82,96462106,35332140
193,30.45,3.79,42.9,66.1,164,0.31,29161922,10869523
194,36.19,4.63,40.4,63.5,213,1.19,17861030,7871713
195,30.68,3.62,33.9,61.2,458,0.21,14645468,4717305
